"","Category","Prop._SNPs","Prop._h2","Prop._h2_std_error","Enrichment","Enrichment_std_error","Enrichment_p","Coefficient","Coefficient_std_error","Coefficient_z-score","Cofficient_P","Cofficient_P_FDR"
"1","baseL2_0",1,1,0,1,0,NA,-8.6419378476405e-09,4.91406413440453e-09,-1.75861315832983,0.0786432364872033,0.185363528643232
"2","Coding_UCSCL2_0",0.0142591398753162,0.0419390493156062,0.0109124915271531,2.94120470675839,0.765298020958724,0.0117734532900326,8.20510489461311e-09,2.24421873180027e-08,0.365610748112379,0.714655553767517,0.796799870292519
"3","Coding_UCSC.flanking.500L2_0",0.0493628839626657,0.0330850238251123,0.0166168488931799,0.670240901040857,0.336626379158634,0.328415758203853,-3.02225379875353e-08,7.5865189522433e-09,-3.98371613882262,6.78459077261892e-05,0.000411315815590022
"4","Conserved_LindbladTohL2_0",0.0246705380614743,0.181276872514641,0.0259310344541817,7.34790915637648,1.051093186114,5.56086071972162e-09,8.18277598354156e-10,2.59737737609338e-08,0.0315039934468397,0.974867607417205,0.985022478327801
"5","Conserved_LindbladToh.flanking.500L2_0",0.3055313572411,0.367869668802883,0.0356630334907902,1.2040324506286,0.116724626280005,0.0826762179151181,8.15382245330254e-09,3.54603952006591e-09,2.29941668928467,0.0214812891488116,0.0694561682478241
"6","CTCF_HoffmanL2_0",0.0238146642288857,-0.00829220985124837,0.0149951083958777,-0.348197638713312,0.629658610835655,0.0320870686519294,-1.87376225061054e-08,1.21217560232508e-08,-1.54578449443832,0.122156622982339,0.259136449219887
"7","CTCF_Hoffman.flanking.500L2_0",0.046979790339429,0.0755636789960626,0.0222260054246431,1.60842946403368,0.473097160801703,0.199848870892211,1.09893626251708e-08,9.58318034326885e-09,1.14673440669304,0.251491405786691,0.420597695884639
"8","DGF_ENCODEL2_0",0.135362603144791,0.158713489869048,0.0425009917461327,1.17250618842842,0.313978829889015,0.58281456263491,-9.66774846449265e-09,8.59837226855891e-09,-1.12436960886702,0.260856259318953,0.424315449655757
"9","DGF_ENCODE.flanking.500L2_0",0.402860920166699,0.35949083299191,0.0510412947927819,0.892344764647702,0.126697061535931,0.395084122479407,-8.66822334166722e-09,4.71426156196345e-09,-1.83872346235642,0.0659558706595863,0.168361038262628
"10","DHS_peaks_TrynkaL2_0",0.109959824926663,0.183585819425797,0.0404932321885797,1.66957176903691,0.368254789561429,0.0717905256004666,1.01168541110825e-08,1.38124904377815e-08,0.732442433654811,0.463898566896175,0.620794350675581
"11","DHS_TrynkaL2_0",0.165742769149422,0.204677701124422,0.0447878793102721,1.23491179841396,0.270225238422887,0.386879058574907,-2.70779757164298e-08,1.09292775313339e-08,-2.47756319105247,0.0132282982134641,0.0513257970682407
"12","DHS_Trynka.flanking.500L2_0",0.330062660633612,0.359135168808211,0.0490644824963922,1.08808178458838,0.148652023837548,0.553849552555528,1.5640611154029e-09,5.40621100488743e-09,0.289308189041998,0.772345546197726,0.832416866457549
"13","Enhancer_AnderssonL2_0",0.00431375844865067,0.002214954761894,0.00721821041814346,0.513462862666041,1.67329963048842,0.771375169024298,-2.31465060585816e-08,3.22986107702038e-08,-0.716640917569581,0.473595690206114,0.620794350675581
"14","Enhancer_Andersson.flanking.500L2_0",0.0147088846313276,0.0372566684781873,0.0156258723484651,2.53293634507382,1.06234243724942,0.151877694547519,2.46817851898625e-08,2.08481904944006e-08,1.18388141150627,0.236460009396131,0.40239685809517
"15","Enhancer_HoffmanL2_0",0.0419232233194921,0.0868712520393506,0.0162232152709701,2.07215106952332,0.386974425781502,0.00638787110452456,5.19147739715415e-09,8.29709705832906e-09,0.625698043623905,0.531513016714967,0.660984136171177
"16","Enhancer_Hoffman.flanking.500L2_0",0.0478821316458762,0.0167306944890639,0.0211565014900071,0.349414153338029,0.441845439264798,0.143857046828069,-1.89092468610588e-08,1.02600930315809e-08,-1.84298980553641,0.0653304989384275,0.168361038262628
"17","FetalDHS_TrynkaL2_0",0.0836828878411061,0.189176346595369,0.0325005152627853,2.26063358323114,0.388377075663259,0.00164474476079422,1.60873152016227e-08,1.15043322758757e-08,1.39837018054123,0.16200193296075,0.334326154371076
"18","FetalDHS_Trynka.flanking.500L2_0",0.199517409282322,0.218953181410923,0.0332839839202411,1.09741391590093,0.166822454441273,0.558829737096087,-5.86859171378501e-10,5.13965459032379e-09,-0.114182609174429,0.909093037607146,0.941751642132491
"19","H3K27ac_HniszL2_0",0.389043808427187,0.444867147667267,0.0162719632580538,1.14348856871868,0.0418255294277464,0.000746640965403369,-2.38599176303529e-09,2.46834906422485e-09,-0.966634661854272,0.333726700535493,0.498022922337581
"20","H3K27ac_Hnisz.flanking.500L2_0",0.0314153673807392,0.012868577286237,0.0182740560395198,0.409626827860263,0.58169162302153,0.311963817851162,-7.35145512129967e-09,1.22341780465381e-08,-0.600894894069316,0.547909994224143,0.664340867996773
"21","H3K27ac_PGC2L2_0",0.268521272457252,0.333401058069595,0.0258949932038328,1.24161879250245,0.0964355373668028,0.013399399554372,-1.18415954356963e-09,3.7262095504127e-09,-0.317791988762004,0.750642727980116,0.818116231618778
"22","H3K27ac_PGC2.flanking.500L2_0",0.0666234535935042,0.049814904175338,0.0266234660598471,0.747708224183007,0.399611017199549,0.528631970857372,-4.0488409684724e-09,8.4827524628583e-09,-0.477302737077409,0.633146562212813,0.749879415931464
"23","H3K4me1_peaks_TrynkaL2_0",0.168870181117464,0.326509941139687,0.0410782196493736,1.93349671907186,0.243253245644357,0.000142765288752142,1.5427566492997e-08,7.65827248275947e-09,2.01449694140918,0.0439573856707774,0.129208073032285
"24","H3K4me1_TrynkaL2_0",0.423455069727212,0.549658546130891,0.0355268521721463,1.29803274402873,0.0838975719313799,0.000510486976203844,-6.6729309931822e-09,5.09880451481298e-09,-1.30872461844656,0.190627649416812,0.369817639868615
"25","H3K4me1_Trynka.flanking.500L2_0",0.182245600226399,0.101611315471497,0.0399693300114357,0.55755154223349,0.21931574733098,0.0451636429936712,-9.91104794229258e-09,5.66612194565495e-09,-1.74917660391917,0.0802604969383066,0.185363528643232
"26","H3K4me3_peaks_TrynkaL2_0",0.0413684654276123,0.0770790951265907,0.0219714545281074,1.86323312527669,0.531116015568759,0.106752155272544,-1.69597737112328e-08,1.34469218652988e-08,-1.26123836229013,0.207222981006232,0.369958613762311
"27","H3K4me3_TrynkaL2_0",0.13288674232645,0.224935003121936,0.0269248428525494,1.69268204776485,0.202614966558558,0.000700600014391212,7.70789493591255e-09,6.14568037315693e-09,1.25419717067927,0.209770348009558,0.369958613762311
"28","H3K4me3_Trynka.flanking.500L2_0",0.122154433391225,0.0933613020557014,0.0343916328079289,0.764289100803182,0.2815422400412,0.402084476465738,-2.39707784367558e-09,6.25879584927577e-09,-0.382993454556112,0.701724617259322,0.791480091559933
"29","H3K9ac_peaks_TrynkaL2_0",0.0381863661076646,0.137435189461426,0.0225791489451683,3.59906436433186,0.591288233122458,1.93062904651347e-05,4.92744861102522e-08,1.5578238073663e-08,3.1630333210504,0.0015613445970311,0.00721192504342937
"30","H3K9ac_TrynkaL2_0",0.125302311178078,0.18141942650989,0.0229671221388225,1.44785379299236,0.183293683275976,0.015125407544415,-1.82188925643022e-08,6.8256983792701e-09,-2.66916168162861,0.00760408364015443,0.0320693962215209
"31","H3K9ac_Trynka.flanking.500L2_0",0.104469785154196,0.165146930814907,0.0330148285886064,1.58081047616929,0.316022748011562,0.068628900852246,1.53423968275936e-08,7.48755920033041e-09,2.04905182277778,0.0404570477423586,0.122635425969024
"32","Intron_UCSCL2_0",0.387451332870001,0.476613144171791,0.0130769474180339,1.23012389876513,0.0337511999795378,2.49704023379295e-10,2.64233264796274e-09,1.14563935559023e-09,2.30642621962076,0.0210868283273675,0.0694561682478241
"33","Intron_UCSC.flanking.500L2_0",0.00934029775082329,0.0229562800542294,0.0107743603985068,2.45776747879435,1.15353500348071,0.206750749206751,-2.38105606023756e-08,2.6570376764901e-08,-0.896131839343318,0.370182353908786,0.520401280132642
"34","PromoterFlanking_HoffmanL2_0",0.00827691393569606,0.00586953811715793,0.0109274917523526,0.709145723002412,1.32023745048566,0.825873903098867,-1.86317629337057e-08,2.57721566363697e-08,-0.722941552644939,0.469715793337173,0.620794350675581
"35","PromoterFlanking_Hoffman.flanking.500L2_0",0.0248872744377394,0.0415945622041138,0.0165335374530323,1.67131850087366,0.664337008634446,0.313663739940149,5.69103608625006e-09,1.38536963541306e-08,0.410795497517399,0.681222494955259,0.786649785841191
"36","Promoter_UCSCL2_0",0.0463352847994828,0.0803811619118143,0.0177318068738903,1.73477215602895,0.382684749875288,0.0571309215152617,2.10145351453695e-09,8.49028606947538e-09,0.247512686538582,0.804511474450508,0.857556187051641
"37","Promoter_UCSC.flanking.500L2_0",0.0105898869666117,0.000343395616970374,0.0135789405216732,0.0324267499788287,1.28225547302682,0.451314711682255,-2.2433214353627e-08,2.43962156344292e-08,-0.919536648215557,0.357814945784364,0.518030593150496
"38","Repressed_HoffmanL2_0",0.460018093796861,0.394207408692968,0.0414960491497886,0.856938920465693,0.0902052543353062,0.115204357999612,-1.51900743763855e-09,4.34846802945245e-09,-0.349320134665868,0.726848984126784,0.801185812048842
"39","Repressed_Hoffman.flanking.500L2_0",0.25843749512469,0.258319803839198,0.0456886490964628,0.999544604449,0.176788004675634,0.997944872636422,1.69319924484895e-09,4.29581634383256e-09,0.394150752575782,0.693469742394815,0.791371353085847
"40","SuperEnhancer_HniszL2_0",0.167206746204891,0.208291190630546,0.0106250394049701,1.24571044744398,0.0635443224997064,0.000142313600919352,-2.0625250804713e-09,2.28291599013568e-09,-0.903460788475497,0.366281390079426,0.520401280132642
"41","SuperEnhancer_Hnisz.flanking.500L2_0",0.00317337618406085,-0.00665499332748336,0.00567715793568634,-2.0971334444715,1.78899620038791,0.0843085811874184,-5.33413023981388e-08,3.45109010403582e-08,-1.54563632910539,0.122192422237038,0.259136449219887
"42","TFBS_ENCODEL2_0",0.130971510741451,0.109514301128355,0.0317254189316248,0.836168877554943,0.242231449817002,0.498295223016573,-1.61918597143788e-08,6.14047686019286e-09,-2.63690590861867,0.00836660350143252,0.0338150224849565
"43","TFBS_ENCODE.flanking.500L2_0",0.210069887416189,0.247605998829241,0.0432619340557223,1.17868392216865,0.205940673305604,0.386985618819283,1.15703768128201e-09,5.50067908842737e-09,0.210344516137335,0.833398793518478,0.8786922062097
"44","Transcr_HoffmanL2_0",0.345192604324092,0.395002687323677,0.0356117357817316,1.14429649527723,0.103164828375919,0.163039212540141,3.66778307184931e-10,3.34262164590262e-09,0.109727736501236,0.912625302685094,0.941751642132491
"45","Transcr_Hoffman.flanking.500L2_0",0.416710575913174,0.34368753531591,0.0424187125059213,0.824763169407826,0.101794182720142,0.0862366245615943,-2.18904148825302e-09,3.38343169594382e-09,-0.646988526730809,0.517639369033274,0.660671299950362
"46","TSS_HoffmanL2_0",0.0178069398920579,0.051337765529666,0.0141484643096812,2.88302009446122,0.794547765952286,0.0188425874350075,8.02787540744045e-09,1.68575443297482e-08,0.476218555348766,0.633918681509073,0.749879415931464
"47","TSS_Hoffman.flanking.500L2_0",0.0165316845264486,0.0252027815921764,0.0135375331533935,1.52451382385474,0.818884072686916,0.522893768313115,1.02385618877235e-08,1.67200962820632e-08,0.612350653668613,0.540305782850878,0.663413429576395
"48","UTR_3_UCSCL2_0",0.0111681302243406,0.0153017538558091,0.00763922392234853,1.37012673996758,0.684019954002602,0.588861308353933,-2.41193401540218e-08,1.89361833115876e-08,-1.27371708211456,0.202763700311579,0.369958613762311
"49","UTR_3_UCSC.flanking.500L2_0",0.0152752174535187,0.00233938338415601,0.00773488188233112,0.153148941497859,0.506368037369535,0.0944425100270642,-1.43377861063276e-08,1.04214870572385e-08,-1.37579080869932,0.168886407878172,0.334326154371076
"50","UTR_5_UCSCL2_0",0.00546017980731599,0.0151309330444703,0.00649654995630849,2.77114189979543,1.18980513198556,0.138051512070453,8.2286491930237e-10,2.28820700981228e-08,0.0359611222137579,0.97131335886815,0.985022478327801
"51","UTR_5_UCSC.flanking.500L2_0",0.021387283915762,0.0381549015370556,0.0112246806439057,1.78399939362736,0.524829645882865,0.137129897284678,1.10882952046722e-08,1.01783649267587e-08,1.08939847258977,0.27597820468063,0.438850587770838
"52","WeakEnhancer_HoffmanL2_0",0.0209056661632411,0.045205653203825,0.016662454271501,2.16236367934121,0.797030534276825,0.145982590068412,1.90549608197759e-08,1.53840835056295e-08,1.23861527485879,0.21548800855911,0.373256014825601
"53","WeakEnhancer_Hoffman.flanking.500L2_0",0.0678186909626131,0.102032278774275,0.0232625585136928,1.50448611328289,0.343011022234519,0.141489979256329,1.05434236567009e-08,7.60390631547762e-09,1.3865798997602,0.165569900963144,0.334326154371076
"54","GERP.NSL2_0",1.74531625628506,3.24877414273285,0.0911205902331723,1.86142432985064,0.0522086412161909,2.66770536178031e-38,9.21176689720397e-09,1.05468628367955e-09,8.73412979740882,2.45539036877196e-18,7.939095525696e-17
"55","GERP.RSsup4L2_0",0.0081499252074974,0.0908721664919344,0.0161139123082952,11.1500614028136,1.97718529901004,8.36941416826615e-07,7.9611373873197e-08,4.23917803276836e-08,1.87799080995915,0.0603824222979059,0.162697082302691
"56","MAFbin1L2_0",0.102357276496064,0.0587353199735828,0.0076475962643437,0.573826522004436,0.07471472987695,1.62123985763501e-08,8.69850393244923e-09,1.64719030589888e-09,5.28081297060719,1.28611926795835e-07,1.039613074933e-06
"57","MAFbin2L2_0",0.0998554140226758,0.0516166897859625,0.00795347002928854,0.516914283428248,0.0796498628254891,4.53110420678797e-09,7.67605250741124e-09,1.57379414933801e-09,4.87741837815323,1.07483300999826e-06,7.83676272831843e-06
"58","MAFbin3L2_0",0.0996066368972879,0.0558718849469646,0.00956714752077812,0.560925322723007,0.0960492977053682,8.87580178620901e-06,8.69417459610899e-09,1.84742165679552e-09,4.7061127404935,2.52484922727924e-06,1.63273583364057e-05
"59","MAFbin4L2_0",0.100695686862236,0.0872870208664184,0.0103946847395845,0.866839718625066,0.103228698899544,0.198609065807463,1.48095011725232e-08,2.10783377731633e-09,7.02593408071221,2.1263883985599e-12,2.94656678086158e-11
"60","MAFbin5L2_0",0.098317122559556,0.0964605234184218,0.0113888675514117,0.981116217676026,0.115838088574174,0.870558297403869,1.67620071157853e-08,2.42600387432852e-09,6.9093076450361,4.87024750072762e-12,5.90517509463224e-11
"61","MAFbin6L2_0",0.0996422004512881,0.0983099946585389,0.012117482824123,0.986630104647273,0.121609948086673,0.912481007212652,1.67441875976509e-08,2.52664011493761e-09,6.62705681693981,3.42445852426026e-11,3.33396486251075e-10
"62","MAFbin7L2_0",0.0997337933780998,0.109734190633856,0.0112224305190787,1.10027090033409,0.112523851133722,0.372721067673066,1.91152612106295e-08,2.21187749349504e-09,8.64209761473948,5.51902435077381e-18,1.33836340506265e-16
"63","MAFbin8L2_0",0.100229334597517,0.152644352144274,0.0141847347563798,1.52295086819877,0.14152278685018,0.000265286749002283,2.71187767273424e-08,2.76314504908808e-09,9.8144600611149,9.75588547580881e-23,9.46320891153455e-21
"64","MAFbin9L2_0",0.101099970660068,0.141643494566189,0.0131304946864564,1.40102409171257,0.129876345173289,0.00232914356316612,2.4549048108245e-08,2.7263248913223e-09,9.00444704385121,2.16755338292958e-19,1.05126339072085e-17
"65","MAFbin10L2_0",0.0984625640752075,0.147696529005793,0.0155995785240753,1.50002724784802,0.158431569100314,0.00165436482719355,2.63791141353106e-08,3.15148156673309e-09,8.37038503215991,5.74302697192894e-17,9.28456027128512e-16
"66","MAF_Adj_Predicted_Allele_AgeL2_0",3.39243741661591e-06,-0.396657366169287,0.0438983187515443,-116924.004029223,12940.0526407749,7.4142864369361e-15,-4.42901733604347e-09,1.13479141775073e-09,-3.90293517096052,9.50331634606582e-05,0.000542248050334344
"67","MAF_Adj_LLD_AFRL2_0",0.00279647423847108,-0.338861295646223,0.0297605585709666,-121.174474266385,10.6421715464247,1.71958750061845e-21,-3.29884589500819e-09,9.32583466223105e-10,-3.53731973007014,0.000404210015895878,0.0021782428634389
"68","Recomb_Rate_10kbL2_0",1.55242444208886,1.33495597360971,0.0801503498320786,0.859916874159404,0.0516291470676875,0.00579237388846639,-1.43939975005653e-09,2.95725899033674e-10,-4.86734423586157,1.13107915666452e-06,7.83676272831843e-06
"69","Nucleotide_Diversity_10kbL2_0",4.60869534067855,3.56616149453064,0.0754752910642548,0.773789810546598,0.0163767152057273,3.5255962614464e-29,-7.13949807350131e-10,3.00773859208452e-10,-2.37370963430478,0.0176103931666725,0.0610382541834542
"70","Backgrd_Selection_StatL2_0",0.177719811868799,0.212451215689618,0.00430429987590504,1.19542786735819,0.0242195837967838,3.74331297604341e-14,4.01734672449192e-09,3.12810386303662e-09,1.28427536309235,0.199045624011839,0.369958613762311
"71","CpG_Content_50kbL2_0",0.0100518737376366,0.0107332633942498,0.000101704440999834,1.06778732745736,0.0101179584676864,3.861552435154e-10,1.11479531574757e-06,1.32158092954942e-07,8.43531630051322,3.3030826140377e-17,6.40798027123314e-16
"72","MAF_Adj_ASMCL2_0",-2.34852700521171e-14,-0.514316671041032,0.0433083551312511,21899542560068.1,-1844064600285.36,4.48487324163977e-23,-5.23898196193205e-09,9.60471378781964e-10,-5.45459456436479,4.90847084717251e-08,4.32837883796122e-07
"73","GTEx_eQTL_MaxCPPL2_0",0.0103404094611467,0.035903095392919,0.00674528625715039,3.47211544454038,0.652322935807839,0.000191229031337483,6.54550317017767e-08,2.17079121917421e-08,3.01526149192166,0.00256757788249953,0.0113206843001116
"74","BLUEPRINT_H3K27acQTL_MaxCPPL2_0",0.0165455490697363,0.0322307221068317,0.00760496627881623,1.94799954785335,0.45963819313356,0.0406124800885978,1.33825944541228e-08,1.97792414733097e-08,0.676597961159504,0.498661073063629,0.644934987828961
"75","BLUEPRINT_H3K4me1QTL_MaxCPPL2_0",0.0133725355131443,0.031009512535208,0.00658464498188275,2.31889550823983,0.492400635272979,0.00809971629575047,3.28222384722188e-08,2.12750371738595e-08,1.54275821959772,0.122889450145513,0.259136449219887
"76","BLUEPRINT_DNA_methylation_MaxCPPL2_0",0.0317309714813847,0.0439294114733467,0.0094157652761425,1.38443323423357,0.296737377916914,0.197201024860002,-1.01211898475852e-08,1.19553551208393e-08,-0.846582116991491,0.397228085139071,0.550444632264141
"77","synonymousL2_0",0.00312003085306062,0.00925494324886535,0.00756892735865792,2.96629863124162,2.42591426659551,0.418245484860744,-8.62017396030766e-08,5.02425175538585e-08,-1.71571298175237,0.0862145875662172,0.194484069626118
"78","non_synonymousL2_0",0.00271541155000227,0.0107293026767156,0.00509897215123702,3.95126207543257,1.87778981467202,0.116923873564887,-4.31570641205416e-08,4.22590621190399e-08,-1.02124992738769,0.307136043181627,0.472892002993933
"79","Conserved_Vertebrate_phastCons46wayL2_0",0.0294360542974948,0.168186411530243,0.024520499867237,5.71361942162732,0.833009058191736,3.22925400314559e-08,-1.72697566256784e-08,1.7217868057456e-08,-1.00301364652402,0.315854276987803,0.478716638559639
"80","Conserved_Vertebrate_phastCons46way.flanking.500L2_0",0.377534469387581,0.35222244991175,0.0383112266310664,0.932954414687245,0.101477427195491,0.508765815948203,-1.25694615638986e-08,7.14563539342112e-09,-1.75904043123598,0.0785706415089189,0.185363528643232
"81","Conserved_Mammal_phastCons46wayL2_0",0.0214394549784698,0.170807711237529,0.0253891833256157,7.96698010322837,1.18422708744753,1.4104545522861e-08,-2.42651596817511e-10,3.6171325195124e-08,-0.00670839665145088,0.994647514030047,0.994647514030047
"82","Conserved_Mammal_phastCons46way.flanking.500L2_0",0.317780149799729,0.313488957692436,0.0381783617192071,0.986496349410127,0.120140800938221,0.910542887248312,-1.64570764008609e-08,7.99826410176282e-09,-2.05758101901558,0.0396303702533565,0.122635425969024
"83","Conserved_Primate_phastCons46wayL2_0",0.0192690716687812,0.232971680347468,0.025462483794671,12.0904465120091,1.32141725519263,1.30342797911601e-14,1.91502003165423e-07,2.88993599725842e-08,6.62651364414624,3.43707717784613e-11,3.33396486251075e-10
"84","Conserved_Primate_phastCons46way.flanking.500L2_0",0.156550261450835,0.26822339513795,0.036046037551725,1.71333725445221,0.230252170885357,0.00215004476892311,2.08044369438383e-08,6.53154894522078e-09,3.1852225434307,0.00144642729945697,0.00701517240236629
"85","BivFlnkL2_0",0.013549378568832,0.0522877535260546,0.0121643301585797,3.85905178310787,0.89777771702103,0.00170454415484356,2.12764952810371e-08,1.89868982647771e-08,1.12058825956357,0.26246316473552,0.424315449655757
"86","BivFlnk.flanking.500L2_0",0.0176299608851232,0.0111177063802839,0.0133896065707087,0.630614353186993,0.759480219948041,0.626331511655742,-1.62021987168517e-08,1.51741834480934e-08,-1.0677476499658,0.285634358010515,0.446879560113225
"87","Human_Promoter_VillarL2_0",0.0152170072967354,0.0512730633515758,0.00999935777755378,3.36945776207755,0.657117236166338,0.000447195015369634,-2.63904450084177e-08,1.3490451317083e-08,-1.95623144015942,0.0504378964148695,0.139785027206924
"88","Human_Promoter_Villar.flanking.500L2_0",0.00358889940697774,-0.00453780037055293,0.00862896645546018,-1.26439887440988,2.40434893178763,0.348023307515728,-1.01681919814399e-07,4.28400797480361e-08,-2.37352312162912,0.0176192898673888,0.0610382541834542
"89","Human_Enhancer_VillarL2_0",0.033227431108615,0.0282846991646689,0.0083360713947759,0.85124543851166,0.250879201811499,0.553767883469475,-1.98614556268652e-08,8.10144393862571e-09,-2.45159452775703,0.014222482482381,0.0530608000304216
"90","Human_Enhancer_Villar.flanking.500L2_0",0.00979775912704224,0.019787792052435,0.00939143793657477,2.01962426263571,0.95852917129326,0.28834194006153,2.34669264391849e-08,1.85935254577929e-08,1.26210204151196,0.206912070768644,0.369958613762311
"91","Ancient_Sequence_Age_Human_PromoterL2_0",0.00417066546958402,0.0428276418706944,0.0093051646430171,10.2687789713727,2.23109830094937,5.99802275345933e-05,1.57997519388609e-07,4.70574883934316e-08,3.35754254599491,0.000786386400384532,0.00401470951775261
"92","Ancient_Sequence_Age_Human_Promoter.flanking.500L2_0",0.0053204418805135,0.0111366880717046,0.0090576377354404,2.09318855873484,1.702422080507,0.521156154845379,3.65499314957928e-08,3.82518095769206e-08,0.955508560249797,0.339320578485764,0.49869842595635
"93","Ancient_Sequence_Age_Human_EnhancerL2_0",0.00513809478995611,0.0309870714983117,0.0103606521796496,6.03084854699156,2.01643850555315,0.0133740030737755,6.95633947210287e-08,3.94853218508023e-08,1.76175326578008,0.0781109939206742,0.185363528643232
"94","Ancient_Sequence_Age_Human_Enhancer.flanking.500L2_0",0.00902676811673703,0.000145994929773714,0.0111963419151703,0.0161735549075441,1.24034890122086,0.427765374026233,-1.67263485715744e-08,2.62964193613252e-08,-0.636069433702988,0.524731167130326,0.660984136171177
"95","Human_Enhancer_Villar_Species_Enhancer_CountL2_0",0.0662830835413046,0.0871524360433754,0.0230892791126289,1.31485186546981,0.348343466824997,0.366957139275861,7.39026019713928e-10,1.75977968495049e-09,0.419953716953334,0.674519264963757,0.786649785841191
"96","Human_Promoter_Villar_ExACL2_0",0.00249666214237869,0.0170601188192987,0.00590475629688895,6.83317078819673,2.36506021245759,0.0146772248369065,3.61333709301792e-08,4.74726572503362e-08,0.761140686514305,0.446573041042769,0.610106830720403
"97","Human_Promoter_Villar_ExAC.flanking.500L2_0",0.00057706898943645,0.00737890057296843,0.00472368430909371,12.7868603374,8.18564919543975,0.150765557721062,3.07176377388393e-07,1.54167444252456e-07,1.99248537120054,0.0463178286811995,0.132142040649304
